group,names,scores,logfoldchanges,pvals,pvals_adj
2,S100A9,35.673214,7.16545,1.0289619945865653e-278,1.7638980992200194e-275
2,S100A6,35.14072,3.1484702,1.6111513024060545e-270,2.45503655124407e-267
2,LGALS1,35.07222,4.8892016,1.787937613596736e-269,2.451977643286564e-266
2,S100A4,34.39405,3.0584774,3.094437068918615e-259,3.857919087559081e-256
2,OAZ1,34.382298,2.2457464,4.637597386755205e-259,5.3000008801634066e-256
2,CTSS,34.22409,4.094816,1.0597067575430644e-256,1.1179091133035066e-253
2,COTL1,33.889107,3.6326897,9.640333853869223e-252,9.44339560514018e-249
2,FCER1G,33.786835,5.294711,3.078363920736934e-250,2.8144455205990877e-247
2,TYMP,33.586067,5.001483,2.6800358039314724e-247,2.2971256884447632e-244
2,SAT1,33.583252,3.8228047,2.94569590187588e-247,2.3763102116662247e-244
2,FCN1,33.385357,6.1534786,2.2366738005655633e-244,1.704096916719785e-241
2,PSAP,33.007504,3.8216336,6.338874354034899e-239,4.3465661445617306e-236
2,S100A11,32.889683,3.7856905,3.087101039783853e-237,2.0160239837902744e-234
3,HLA-DPB1,9.526945,4.3788824,1.6197938378690592e-21,1.2494022159787935e-17
3,HLA-DPA1,9.514717,4.212818,1.8220828583619564e-21,1.2494022159787935e-17
3,HLA-DRB1,9.198926,4.204097,3.615466873030179e-20,1.3860781304323545e-16
3,HLA-DRA,9.186912,4.553892,4.042812105679903e-20,1.3860781304323545e-16
3,CST3,9.148511,4.9246655,5.77239298760623e-20,1.5832519486406366e-16
3,HLA-DQA1,9.067632,4.7540555,1.2163173207103223e-19,2.7800959560368935e-16
3,CD74,9.003487,3.5640812,2.1866044351555233e-19,4.2838704605318353e-16
3,HLA-DRB5,8.664311,3.912911,4.542504032889088e-18,7.786987538380119e-15
3,FCER1A,8.593945,8.6909685,8.403341274455387e-18,1.2804824693097908e-14
3,HLA-DMA,8.185369,3.5048099,2.714722494963208e-16,3.7229704295925436e-13
3,HLA-DQB1,8.124441,4.032566,4.494284907329561e-16,5.603147565374327e-13
3,HLA-DQA2,7.6009827,4.1870685,2.938906897021661e-14,3.3586807654795884e-11
3,LYZ,7.5004745,4.326078,6.358735097053736e-14,6.228835222928209e-11
3,CLEC10A,7.415198,7.0247517,1.2144350904760393e-13,1.1103175220525604e-10
3,LSP1,7.3526616,2.1958725,1.942984508583106e-13,1.6653805969192947e-10
3,AP1S2,7.3142605,3.0098104,2.588030190755899e-13,2.0877791785897884e-10
3,GRN,7.254942,3.090231,4.018335140351504e-13,3.0615248952655847e-10
3,GPX1,7.217292,2.8517923,5.303311569470415e-13,3.8278744665114357e-10
3,GSTP1,7.1474614,2.7441125,8.839727852878804e-13,6.061401388718996e-10
3,VIM,7.011877,1.9858869,2.3514156217961586e-12,1.535586373205358e-09
4,NKG7,31.39055,7.0870414,2.722986656786046e-216,3.7343039011163834e-212
4,CST7,28.171932,6.4149175,1.2911594326869528e-174,8.853480229934435e-171
4,GZMA,27.191696,6.0909433,8.142902005832724e-163,3.722391936932999e-159
4,B2M,27.013521,0.9864379,1.0252550695902007e-160,3.515087006090003e-157
4,CTSW,26.698277,4.6361375,4.9287381811311295e-157,1.3518543083206463e-153
4,CCL5,26.129356,5.369861,1.6918704317412936e-150,3.867051850150017e-147
4,HLA-C,25.893932,1.3419186,7.79450448099232e-148,1.5270547778904096e-144
4,HLA-A,23.145054,1.2967616,1.6304362742552306e-118,2.794975383142029e-115
4,PRF1,20.645563,5.585885,1.0700678806995356e-94,1.6305456573237145e-91
4,GZMM,18.965904,3.4279644,3.2636514215327994e-80,4.475771559490081e-77
4,HLA-B,18.848434,1.0456975,3.0266393098681686e-79,3.773393772321097e-76
4,PTPRCAP,18.496061,2.001937,2.2212433893015827e-76,2.5385109867401587e-73
4,HCST,17.040728,1.9639736,4.096014547507955e-65,4.012338821751721e-62
4,GZMB,16.889933,6.066157,5.336357103960983e-64,4.878853421581395e-61
4,FGFBP2,16.480139,6.175769,5.0967910589476535e-61,4.3685870364005075e-58
4,GZMH,16.246653,6.5323687,2.35900726993358e-59,1.7973014277705063e-56
4,GNLY,15.659651,5.1154914,2.8545991023419788e-55,1.957398604475895e-52
4,CD99,15.200767,1.7948351,3.495055494802726e-52,2.0839648285097645e-49
4,CD247,15.140822,2.7697916,8.711765791225037e-52,4.978048169202507e-49
4,IL32,14.914284,1.9507719,2.6611609797688054e-50,1.459806467061976e-47
5,PF4,6.228046,12.90574,4.722885531370455e-10,7.725968615950535e-07
5,SDPR,6.2276807,11.863666,4.733899413238275e-10,7.725968615950535e-07
5,GNG11,6.2276807,12.428451,4.733899413238275e-10,7.725968615950535e-07
5,PPBP,6.227316,13.035219,4.744938361686981e-10,7.725968615950535e-07
5,NRGN,6.2254906,9.092909,4.800511051963354e-10,7.725968615950535e-07
5,SPARC,6.220745,10.895902,4.947989758718316e-10,7.725968615950535e-07
5,GPX1,6.220745,6.478824,4.947989758718316e-10,7.725968615950535e-07
5,TPM4,6.2141747,6.943187,5.159512646947618e-10,7.725968615950535e-07
5,RGS18,6.2130795,8.6062975,5.195614032364577e-10,7.725968615950535e-07
5,CALM3,6.185337,4.9173193,6.196999764872094e-10,7.725968615950535e-07
5,RGS10,6.1112347,5.0098014,9.886322693278598e-10,9.992881560052564e-07
5,TAGLN2,6.068526,4.831951,1.2908982105660859e-09,9.992881560052564e-07
5,MYL6,5.8907537,2.849906,3.844385405560247e-09,2.108876058074129e-06
5,OAZ1,5.8502345,3.2184496,4.908799997693448e-09,2.3213545920126877e-06
5,GP9,5.7471123,12.910398,9.07804721604925e-09,3.5570382720256976e-06
5,HIST1H2AC,5.7337885,9.46766,9.821181034465612e-09,3.707430786241578e-06
5,CD9,5.7306857,9.544075,1.0002547695124573e-08,3.707430786241578e-06
5,MYL12A,5.692722,2.8250475,1.2502986129337168e-08,4.2866487944432485e-06
5,CCL5,5.6826835,5.6169353,1.3259748137648543e-08,4.3296234752312406e-06
5,ITM2B,5.577371,2.7670145,2.441808327271717e-08,6.351513867316113e-06
